modelo,fold,acuracia,f1_macro,precisao,recall,tempo_ms
"SVM (RBF, OvO)",28,0.9606266318537859,0.9538312325771686,0.9578845601433718,0.9510882634619318,54193.40480000028
"SVM (RBF, OvO)",29,0.9619843342036554,0.9556809081976034,0.9584425319537176,0.9540560834054427,50570.40690000031
"SVM (RBF, OvO)",30,0.9628198433420365,0.9562321853434046,0.9598603072746273,0.953610858459461,52606.12349999974
"SVM (RBF, OvO)",31,0.9613617376775272,0.9541275818049878,0.9583245997134742,0.9510196425740952,52889.94090000051
"SVM (RBF, OvO)",32,0.9632414369256475,0.9568608783455713,0.9598776139810773,0.9549588099470867,52714.29680000074
"SVM (RBF, OvO)",33,0.9653299916457811,0.9591702210539751,0.9632703155430429,0.9560497783241644,54192.21369999832
"SVM (RBF, OvO)",34,0.9617794486215538,0.9557410908787475,0.9580592782576426,0.9544916222926115,53300.11889999878
"SVM (RBF, OvO)",35,0.9618838763575606,0.9554642872082827,0.9584429569784766,0.9534016765241454,51919.77570000017
"SVM (RBF, OvO)",36,0.9642857142857143,0.9583136185013785,0.9616192910062029,0.9560829724048842,52981.446299998424
"SVM (RBF, OvO)",37,0.9609440267335004,0.9543483279266335,0.9590416211925462,0.9508967798119858,53811.783500001184
"SVM (RBF, OvO)",38,0.9617754569190601,0.9551965809015108,0.9606787696905313,0.9512183514515143,55403.68320000016
"SVM (RBF, OvO)",39,0.9605221932114882,0.9536663180860944,0.9570681199618161,0.9515729308933745,51918.39179999988
"SVM (RBF, OvO)",40,0.9637597911227154,0.9573953072608058,0.9629604390121839,0.9532353633578499,51266.89569999871
"SVM (RBF, OvO)",41,0.9613617376775272,0.9545128730337105,0.9587814168279158,0.9516627628428044,54262.409599999955
"SVM (RBF, OvO)",42,0.9626148705096074,0.9559559647776162,0.9600539814169061,0.9532632055415976,50893.50360000026
"SVM (RBF, OvO)",43,0.964390142021721,0.9585943851086226,0.9614199401054306,0.9567286281679803,56418.86899999918
"SVM (RBF, OvO)",44,0.960421888053467,0.9538231345687768,0.9562618252886067,0.9524046458097452,52989.66090000067
"SVM (RBF, OvO)",45,0.9640768588137009,0.9580614143319964,0.9605235645339129,0.9563537698309975,54627.058099998976
"SVM (RBF, OvO)",46,0.9630325814536341,0.9566287991480941,0.9617662630990974,0.9527062474468555,54522.24170000045
"SVM (RBF, OvO)",47,0.9632414369256475,0.957007834131507,0.9621648603580214,0.9532882826552793,55320.34890000068
"SVM (RBF, OvO)",48,0.960313315926893,0.9531186118780098,0.9577893668484608,0.9496797591771821,54575.48610000049
"SVM (RBF, OvO)",49,0.9639686684073107,0.9577403638626474,0.9618917927029108,0.9547367766766529,53186.40500000038
"SVM (RBF, OvO)",50,0.9618798955613577,0.9550822285731092,0.9594879451448795,0.9518440740071642,54142.256799999814
